,Time,Threshold,TN,FP,FN,TP,U value 4,,U value 1,U value 2,U value 3,U value 4,U value 5,U value 6,U value 7,U value 8,U value 9,U value 10
0,1,0.05,0,8148,0,12079,0,,0,0,0,0,0,0,0,0,0,0
1,1,0.1,0,8148,0,12079,0,,0,0,0,0,0,0,0,0,0,0
2,1,0.15000000000000002,0,8148,0,12079,0,,0,0,0,0,0,0,0,0,0,0
3,1,0.2,0,8148,0,12079,0,,0,0,0,0,0,0,0,0,0,0
4,1,0.25,1,8147,0,12079,0.4,,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
5,1,0.30000000000000004,59,8089,17,12062,-16.00842753,,5.289460446,8.919302316,5.727293615,-16.00842753,-88.15118524,-297.3144745,-878.9381847,-2473.014289,-6819.221338,-18646.49593
6,1,0.35000000000000003,100,8048,34,12045,-39.21685506,,8.778920892,14.23860463,6.054587231,-39.21685506,-185.3023705,-605.4289489,-1770.476369,-4960.428578,-13654.64268,-37310.99185
7,1,0.4,302,7846,158,11921,-247.3253853,,24.52557356,33.62645682,-20.67574169,-247.3253853,-942.4639569,-2911.087469,-8341.401952,-23181.5681,-63600.36303,-173549.0798
8,1,0.45,440,7708,246,11833,-397.1572454,,35.16513351,46.31460998,-41.25210416,-397.1572454,-1482.481857,-4550.57416,-13008.38785,-36116.98324,-99050.53231,-270239.5293
9,1,0.5,972,7176,732,11347,-1316.692291,,70.91088508,70.36054678,-223.9306514,-1316.692291,-4579.921623,-13743.09384,-38943.9736,-107739.8623,-295039.2717,-804464.6481
10,1,0.55,1650,6498,1496,10583,-2825.541622,,111.2725192,76.4986038,-558.5981619,-2825.541622,-9528.304301,-28288.87375,-79825.96025,-220458.8574,-603279.2778,-1644433.641
11,1,0.6000000000000001,4366,3782,5314,6765,-10634.72846,,245.7525182,-27.27220549,-2432.72716,-10634.72846,-34593.37637,-101383.0304,-284599.4302,-784296.5372,-2144277.4,-5842751.962
12,1,0.65,7046,1102,9622,2457,-19599.96998,,359.0346123,-221.2748892,-4662.751814,-19599.96998,-63067.57084,-184088.7925,-515922.6125,-1420804.488,-3883392.478,-10580264.69
13,1,0.7000000000000001,7799,349,11158,921,-22877.5079,,379.1705679,-330.9543976,-5518.621049,-22877.5079,-73321.20146,-213698.7239,-598541.7391,-1647910.861,-4503649.223,-12269608.27
14,1,0.75,8121,27,12008,71,-24729.12928,,380.8435902,-410.5892818,-6020.656369,-24729.12928,-79042.76073,-230141.2476,-644328.2483,-1773663.975,-4846975.49,-13204561.06
15,1,0.8,8145,3,12078,1,-24882.62281,,380.7296038,-417.6509781,-6062.755748,-24882.62281,-79515.20678,-231496.8484,-648100.6644,-1784022.128,-4875251.684,-13281559.69
16,1,0.8500000000000001,8147,1,12079,0,-24884.15271,,380.8936897,-417.4204309,-6062.860025,-24884.15271,-79521.12744,-231515.2198,-648153.396,-1784168.776,-4875654.138,-13282658.02
